관광지명,cor_spot_temp,cor_spot_rain,cor_temp_rain
동문재래시장,0.03638077,-0.015506926,0.20079764
협재해변,0.03223415,-0.07348064,0.237547041
제주김만복본점,0.036308684,-0.016574114,0.201926372
용두암,0.007140797,-0.286569667,0.2019178
새별오름,-0.498363502,-0.197687205,0.232878021
함덕해수욕장,0.034416132,-0.033351142,0.213314937
사려니숲,0.033876196,-0.047727143,0.21765045
만장굴,0.416537972,0.147518615,0.211316096
용눈이오름,-0.066722498,-0.152774582,0.200385397
델문도,-0.052231807,-0.016694347,0.213203856
몽상드애월,-0.186495747,0.089039556,0.231542955
이호테우해변,-0.003498139,-0.552588316,0.206920097
하이엔드제주,0.215297676,0.057248297,0.23144923
자매국수노형점,-0.030815217,0.037118203,0.20097972
비자림,-0.001072627,-0.252075631,0.204961129
에코랜드,0.105241736,-0.358908409,0.21563966
제주김만복동문시장점,-0.354215344,-0.012926014,0.200945929
성산일출봉,0.027465038,-0.054337337,0.198896541
서귀포매일올레시장,0.036067616,-0.070893426,0.191894204
오설록티뮤지엄,0.032233872,-0.076133007,0.236763797
아쿠아플라넷제주,0.026966949,-0.054425577,0.197058434
산방산탄산온천,-0.116669494,0.02289919,0.236056012
빛의벙커,0.091953993,0.074994509,0.196903344
섭지코지,0.026977436,-0.054385471,0.197088748
카멜리아힐,-0.337404445,-0.441054773,0.229334824
가시아방국수,0.05058386,0.032466326,0.197112805
휴애리자연생활공원,-0.486469047,-0.411534448,0.206193196
천지연폭포,0.03606471,-0.070887051,0.19193841
주상절리대,-0.08181054,-0.478532164,0.21397164
쇠소깍,0.005432381,-0.160559464,0.199275391
광치기해변,-0.084144264,-0.015092742,0.198082798
위미동백나무군락,-0.398606387,-0.080954728,0.205623791
운정이네본점,0.051148725,0.092183198,0.212752158
제주항공우주박물관,0.140744672,0.31756028,0.236795307
제주동백수목원,-0.671576825,-0.135870191,0.20618224
국수바다본점,0.224920869,0.128210228,0.219850058
바다다,-0.026070793,-0.13039967,0.211463675
퍼시픽랜드,0.306755937,0.393279312,0.216998895
신양섭지코지해변,-0.395614885,-0.098476119,0.196780944
용머리해안,-0.382411724,-0.298344533,0.234784811
춘심이네본점,-0.085134484,-0.023902935,0.227943369
맛나식당,-0.053027679,0.002491265,0.197691656
오는정김밥,-0.002502355,0.046941555,0.19189398
헬로키티아일랜드,0.063047286,0.203408532,0.232262054
봄날카페,-0.332704312,-0.055612788,0.231550779
곽지해수욕장,0.180542965,-0.170696172,0.232702876
네거리식당,0.090920964,0.032975355,0.191927663
고집돌우럭제주공항점,0.192924941,0.107846917,0.200780666
제주국제컨벤션센터,0.039601674,0.050181229,0.214542414
마노르블랑,0.315494244,-0.061778472,0.236238331
쌍둥이횟집본점,-0.081161085,-0.021527443,0.191867487
제주오성식당,0.166860081,0.11326796,0.217647943
산방산,-0.433619705,-0.125115759,0.234241246
제주여미지식물원,-0.062398104,0.289008265,0.217148431
박물관은살아있다중문점,0.155117605,0.649117162,0.218753035
피규어뮤지엄제주,0.067335543,0.573632237,0.231435302
넥슨컴퓨터박물관,0.057533343,0.40278689,0.206753931
한림공원,-0.283379938,-0.139206135,0.237434839
제주민속촌,-0.034519568,-0.039948331,0.199006392
새빌,0.01253256,-0.087520158,0.23227515
고집돌우럭중문점,0.046131593,0.126027276,0.217317463
송악산,-0.049229054,0.00503164,0.235567473
엉또폭포,0.294678019,0.620422986,0.199771177
돌카롱사려니숲길점,0.393056477,0.124824703,0.216752356
더클리프,0.291921017,-0.140833335,0.216998895
김녕해수욕장,0.652570419,-0.126762487,0.212962684
궷물오름,-0.093159928,-0.06759965,0.225307303
상효원수목원,-0.019231243,-0.015663823,0.201516769
천제연폭포,0.093492336,-0.015523948,0.216577611
녹산로유채꽃도로,-0.110770061,-0.055412478,0.209620346
제주왕벚꽃축제장전리,-0.116355547,-0.042556597,0.224108006
전농로왕벚꽃길,-0.071917414,-0.024453069,0.201088404
조랑말체험공원,-0.133287832,-0.045462468,0.208026624
사계생활,-0.06592127,-0.016637897,0.235848065
제주43평화공원,-0.046337808,-0.015459288,0.214673861
제주허브동산,0.001116868,-0.05645552,0.200353771
한담해안산책로,0.015272974,-0.031509096,0.231732703
백약이오름,0.016455312,-0.04170099,0.202342377
오라동메밀밭,0.015706594,-0.026716885,0.215567558
약천사,0.009501086,-0.022575497,0.208849346
금능해수욕장,0.685893273,-0.008209451,0.23660014
표선해수욕장,0.528082005,-0.096337122,0.199739387
