No,search,address,경도,위도,상태
1,동문재래시장,제주 제주시 관덕로14길 20,126.5260216,33.51159508,정좌표
2,함덕해수욕장,제주 제주시 조천읍 조함해안로 525,126.6705076,33.54282298,정좌표
3,새별오름,제주 제주시 애월읍 봉성리 산59-8,126.3570952,33.36731839,정좌표
4,사려니숲,제주 제주시 조천읍 교래리 산137-1,126.6425684,33.40769185,정좌표
5,용눈이오름,제주 제주시 구좌읍 종달리 산28,126.8336063,33.4612279,정좌표
6,용두암,제주 제주시 용담이동,126.5016723,33.50501511,인근좌표
7,비자림,제주 제주시 구좌읍 비자숲길 55,126.8114621,33.4910985,정좌표
8,델문도,제주 제주시 조천읍 조함해안로 519-10,126.6687138,33.54370836,정좌표
9,제주김만복본점,제주특별자치도 제주시 오라로 41,126.5085465,33.49695939,정좌표
10,이호테우해변,제주 제주시 이호일동,126.4589845,33.49843527,인근좌표
11,산도롱맨도롱,제주 제주시 구좌읍 해맞이해안로 2284,126.9101826,33.49688969,정좌표
12,우진해장국,제주 제주시 서사로 11   ,126.5200649,33.51147261,정좌표
13,에코랜드,제주 제주시 조천읍 번영로 1278-169,126.6677887,33.45534587,정좌표
14,곽지해수욕장,제주 제주시 애월읍 곽지리,126.3156486,33.44140864,인근좌표
15,새빌,제주 제주시 애월읍 평화로 1529   ,126.363384,33.36270879,정좌표
16,동문수산시장,제주 제주시 이도일동 1349-60,126.5257829,33.51243572,정좌표
17,서귀포매일올레시장,제주 서귀포시 서귀동 340,126.5635375,33.24983301,정좌표
18,성산일출봉,제주 서귀포시 성산읍 성산리 1,126.9425485,33.45839817,정좌표
19,오설록티뮤지엄,제주 서귀포시 안덕면 신화역사로 15 오설록,126.2893724,33.3059182,정좌표
20,제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927,126.6780852,33.27495159,정좌표
21,카멜리아힐,제주 서귀포시 안덕면 병악로 166,126.3698466,33.28935147,정좌표
22,아쿠아플라넷제주,제주 서귀포시 성산읍 섭지코지로 95,126.9277957,33.43297649,정좌표
23,산방산탄산온천,제주 서귀포시 안덕면 사계북로41번길 192,126.2988901,33.24821684,정좌표
24,섭지코지,제주 서귀포시 성산읍 고성리,126.90962,33.44069883,인근좌표
25,빛의벙커,제주 서귀포시 성산읍 고성리 2039-22,126.8998725,33.43963277,정좌표
26,휴애리자연생활공원,제주 서귀포시 남원읍 신례동로 256,126.6392651,33.30793507,정좌표
27,쇠소깍,제주 서귀포시 남원읍 하례로 378,126.6226673,33.28081344,정좌표
28,천지연폭포,제주 서귀포시 천지동 667-7,126.5616063,33.2408276,정좌표
29,동백농원,제주 서귀포시 안덕면 한밭로 140   ,126.3533021,33.24310353,정좌표
30,광치기해변,제주 서귀포시 성산읍 고성리 224-33,126.9239472,33.45230517,정좌표
31,주상절리대,제주특별자치도 서귀포시 이어도로 36-24,126.4264406,33.23887238,정좌표
32,연돈,제주특별자치 서귀포시 일주서로 968-10   ,126.4071709,33.25891018,정좌표
33,맛나식당,제주 서귀포시 성산읍 동류암로 41,126.9160168,33.44854228,정좌표
34,제주항공우주박물관,제주 서귀포시 안덕면 녹차분재로 218 제주항공우주박물관,126.3016193,33.3037596,정좌표
35,국수바다본점,제주 서귀포시 일주서로 982,126.4060001,33.25831588,정좌표
36,춘심이네본점,제주 서귀포시 안덕면 창천중앙로24번길 16,126.3702605,33.26430979,정좌표
37,바다다,제주특별자치도 서귀포시 대포로 148-15,126.4367197,33.23692122,정좌표
38,오는정김밥,제주 서귀포시 동문동로 2,126.5675898,33.24962321,정좌표
39,가시아방국수,제주 서귀포시 성산읍 고성리 528 가시아방,126.918315,33.43840804,정좌표
40,휴애리동백축제,제주 서귀포시 남원읍 신례리 2070-5   ,126.6362719,33.30928316,정좌표
41,네거리식당,제주 서귀포시 서문로29번길 20,126.5592831,33.24851105,정좌표
42,만장굴,제주 제주시 구좌읍 만장굴길 182,126.7691994,33.52790795,정좌표
43,몽상드애월,제주 제주시 애월읍 애월북서길 56-1,126.3092417,33.46292103,정좌표
44,하이엔드제주,제주특별자치도 제주시 애월읍 애월북서길 56,126.3092866,33.46396531,정좌표
45,돌카롱사려니숲길점,제주 제주시 조천읍 비자림로 422-2   ,126.657143,33.42594086,정좌표
46,제주민속오일시장,제주 제주시 오일장서길 26   ,126.4758197,33.49679573,정좌표
47,자매국수노형점,제주 제주시 탑동로11길 6,126.5170073,33.51681692,정좌표
48,렛츠런파크제주,제주 제주시 애월읍 평화로 2144,126.4011406,33.40355488,정좌표
