강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 고산
기간 : 20190101~20210228

날짜,지점,강수량(mm)
2019-01-01,185,0
2019-01-02,185,0
2019-01-03,185,
2019-01-04,185,0.2
2019-01-05,185,0.2
2019-01-06,185,
2019-01-07,185,
2019-01-08,185,
2019-01-09,185,0
2019-01-10,185,0
2019-01-11,185,2.2
2019-01-12,185,1.7
2019-01-13,185,
2019-01-14,185,
2019-01-15,185,
2019-01-16,185,
2019-01-17,185,0
2019-01-18,185,
2019-01-19,185,0.1
2019-01-20,185,0.1
2019-01-21,185,
2019-01-22,185,
2019-01-23,185,
2019-01-24,185,
2019-01-25,185,0
2019-01-26,185,
2019-01-27,185,
2019-01-28,185,
2019-01-29,185,
2019-01-30,185,0.1
2019-01-31,185,12.8
2019-02-01,185,
2019-02-02,185,
2019-02-03,185,10.1
2019-02-04,185,0
2019-02-05,185,
2019-02-06,185,0.2
2019-02-07,185,2.3
2019-02-08,185,
2019-02-09,185,0.3
2019-02-10,185,
2019-02-11,185,0
2019-02-12,185,
2019-02-13,185,0
2019-02-14,185,
2019-02-15,185,0.4
2019-02-16,185,
2019-02-17,185,
2019-02-18,185,3.4
2019-02-19,185,15.7
2019-02-20,185,
2019-02-21,185,
2019-02-22,185,0.8
2019-02-23,185,
2019-02-24,185,
2019-02-25,185,
2019-02-26,185,
2019-02-27,185,0.9
2019-02-28,185,0
2019-03-01,185,
2019-03-02,185,1.3
2019-03-03,185,5.1
2019-03-04,185,1.7
2019-03-05,185,1.1
2019-03-06,185,5.8
2019-03-07,185,
2019-03-08,185,
2019-03-09,185,5.9
2019-03-10,185,3.1
2019-03-11,185,12.2
2019-03-12,185,
2019-03-13,185,
2019-03-14,185,
2019-03-15,185,0.2
2019-03-16,185,
2019-03-17,185,
2019-03-18,185,6.3
2019-03-19,185,
2019-03-20,185,3.3
2019-03-21,185,
2019-03-22,185,
2019-03-23,185,
2019-03-24,185,
2019-03-25,185,
2019-03-26,185,
2019-03-27,185,
2019-03-28,185,
2019-03-29,185,
2019-03-30,185,
2019-03-31,185,
2019-04-01,185,
2019-04-02,185,
2019-04-03,185,
2019-04-04,185,
2019-04-05,185,
2019-04-06,185,
2019-04-07,185,2
2019-04-08,185,
2019-04-09,185,5.8
2019-04-10,185,0.8
2019-04-11,185,
2019-04-12,185,
2019-04-13,185,
2019-04-14,185,
2019-04-15,185,
2019-04-16,185,
2019-04-17,185,
2019-04-18,185,
2019-04-19,185,
2019-04-20,185,
2019-04-21,185,
2019-04-22,185,
2019-04-23,185,13.1
2019-04-24,185,
2019-04-25,185,
2019-04-26,185,0
2019-04-27,185,
2019-04-28,185,0
2019-04-29,185,6.2
2019-04-30,185,
2019-05-01,185,
2019-05-02,185,
2019-05-03,185,
2019-05-04,185,
2019-05-05,185,
2019-05-06,185,
2019-05-07,185,
2019-05-08,185,
2019-05-09,185,0
2019-05-10,185,
2019-05-11,185,
2019-05-12,185,
2019-05-13,185,0
2019-05-14,185,0.4
2019-05-15,185,
2019-05-16,185,0
2019-05-17,185,10.8
2019-05-18,185,44.4
2019-05-19,185,0
2019-05-20,185,0
2019-05-21,185,
2019-05-22,185,
2019-05-23,185,
2019-05-24,185,
2019-05-25,185,
2019-05-26,185,0.2
2019-05-27,185,64.2
2019-05-28,185,
2019-05-29,185,
2019-05-30,185,0.1
2019-05-31,185,2.5
2019-06-01,185,
2019-06-02,185,
2019-06-03,185,
2019-06-04,185,
2019-06-05,185,
2019-06-06,185,15.4
2019-06-07,185,0
2019-06-08,185,0
2019-06-09,185,
2019-06-10,185,
2019-06-11,185,0
2019-06-12,185,
2019-06-13,185,
2019-06-14,185,39.2
2019-06-15,185,
2019-06-16,185,
2019-06-17,185,
2019-06-18,185,2.6
2019-06-19,185,
2019-06-20,185,
2019-06-21,185,
2019-06-22,185,
2019-06-23,185,
2019-06-24,185,
2019-06-25,185,1
2019-06-26,185,109.9
2019-06-27,185,0.9
2019-06-28,185,
2019-06-29,185,3.9
2019-06-30,185,0
2019-07-01,185,2.1
2019-07-02,185,
2019-07-03,185,
2019-07-04,185,
2019-07-05,185,
2019-07-06,185,
2019-07-07,185,1
2019-07-08,185,8.1
2019-07-09,185,1.7
2019-07-10,185,6.7
