날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,185,5.1,4.4,6.2
2019-01-02,185,5.2,4.3,6.4
2019-01-03,185,5.3,4.4,6.6
2019-01-04,185,6.5,4.2,9.8
2019-01-05,185,6.8,5.5,8.3
2019-01-06,185,5.7,4.8,6.4
2019-01-07,185,6.3,4.6,7.3
2019-01-08,185,6.5,4.4,8.4
2019-01-09,185,4,1.7,6.5
2019-01-10,185,6.3,5.2,7.6
2019-01-11,185,7.3,5.8,8.9
2019-01-12,185,8.5,7.7,9.1
2019-01-13,185,7.7,6.5,8.8
2019-01-14,185,6.8,4.9,8
2019-01-15,185,6.7,2.5,8.9
2019-01-16,185,2.9,1.7,3.9
2019-01-17,185,5.2,3.5,6.8
2019-01-18,185,6.5,4.3,9.7
2019-01-19,185,11,6,13.8
2019-01-20,185,6.3,3.7,11.4
2019-01-21,185,5.9,3.5,8.5
2019-01-22,185,8.3,6.9,11.7
2019-01-23,185,8.8,6.9,12.3
2019-01-24,185,6.7,5.3,7.8
2019-01-25,185,6,2.9,8.9
2019-01-26,185,4.1,2.9,5.2
2019-01-27,185,5.9,4.4,8.3
2019-01-28,185,7.7,4.8,10.7
2019-01-29,185,6.1,3,9.2
2019-01-30,185,7.5,6.7,9.5
2019-01-31,185,4.3,2.6,7.3
2019-02-01,185,4.8,2.8,6.7
2019-02-02,185,9.9,5.6,13.8
2019-02-03,185,12.4,8.2,16.3
2019-02-04,185,6.5,4.9,9
2019-02-05,185,9.6,4.9,14.3
2019-02-06,185,11.9,8.9,16.9
2019-02-07,185,6.8,1.8,13.2
2019-02-08,185,2.8,1.4,4.1
2019-02-09,185,2.6,1.3,4.7
2019-02-10,185,2.9,1.5,3.8
2019-02-11,185,3.4,2.5,4.3
2019-02-12,185,5.7,1.9,9.2
2019-02-13,185,5.8,4.6,7.1
2019-02-14,185,5.2,3.5,7
2019-02-15,185,6.4,5.2,7.8
2019-02-16,185,3.7,2.8,6.3
2019-02-17,185,3.9,2.9,5.9
2019-02-18,185,7,3.6,9.7
2019-02-19,185,8.5,6,13.4
2019-02-20,185,6.6,4.8,8.2
2019-02-21,185,6.5,5.2,7.7
2019-02-22,185,7.9,6,11.4
2019-02-23,185,9.2,6.5,13.4
2019-02-24,185,11.5,7.8,15.9
2019-02-25,185,9,7.4,10.5
2019-02-26,185,8.7,6.2,11
2019-02-27,185,10.5,8.5,12.6
2019-02-28,185,9.4,8.3,10.9
2019-03-01,185,8.6,6.2,10.1
2019-03-02,185,10,7.8,12.8
2019-03-03,185,11.1,9.3,14.1
2019-03-04,185,9.4,8,11.6
2019-03-05,185,11.2,7.7,14.5
2019-03-06,185,9.7,7.5,12
2019-03-07,185,7.4,6.5,9.2
