강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 제주
기간 : 20210219~20210320

날짜,지점,강수량(mm)
2021-02-19,184,
2021-02-20,184,
2021-02-21,184,
2021-02-22,184,
2021-02-23,184,
2021-02-24,184,
2021-02-25,184,19.6
2021-02-26,184,5.4
2021-02-27,184,
2021-02-28,184,0.1
2021-03-01,184,11.2
2021-03-02,184,0
2021-03-03,184,
2021-03-04,184,26.9
2021-03-05,184,0.1
2021-03-06,184,
2021-03-07,184,
2021-03-08,184,
2021-03-09,184,
2021-03-10,184,
2021-03-11,184,7.6
2021-03-12,184,14.2
2021-03-13,184,
2021-03-14,184,
2021-03-15,184,0
2021-03-16,184,3.1
2021-03-17,184,
2021-03-18,184,
2021-03-19,184,6.2
2021-03-20,184,7.6
