날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,189,5.1,3.8,7
2019-01-02,189,5.2,3.6,8.4
2019-01-03,189,7.1,2.6,10.6
2019-01-04,189,9.3,6.6,11.8
2019-01-05,189,9.7,7.2,13.2
2019-01-06,189,9.5,7.2,12.3
2019-01-07,189,10,7.6,12.8
2019-01-08,189,8.7,4.1,12.1
2019-01-09,189,5.6,4.4,7.2
2019-01-10,189,8.8,6.7,11.8
2019-01-11,189,9.2,8.1,11.5
2019-01-12,189,10.3,7.6,14.7
2019-01-13,189,8.2,5.9,12.2
2019-01-14,189,8.7,4.7,13.3
2019-01-15,189,8.4,5,12.6
2019-01-16,189,4.8,2.9,7.6
2019-01-17,189,5,2,9.1
2019-01-18,189,7,2.9,11.2
2019-01-19,189,10.4,5.9,13.7
2019-01-20,189,8.9,3.5,12.2
2019-01-21,189,5.9,2.6,10.2
2019-01-22,189,7.3,3.5,13.1
2019-01-23,189,8.6,3.1,14.6
2019-01-24,189,8.9,4.6,13.8
2019-01-25,189,7.6,3.2,13.1
2019-01-26,189,4.5,2.2,7.8
2019-01-27,189,6.6,2.4,11.4
2019-01-28,189,8.1,5.3,11.9
2019-01-29,189,7.1,2.8,10
2019-01-30,189,9.4,7.3,12
2019-01-31,189,6.7,4.7,8.4
2019-02-01,189,5,2.2,8.7
2019-02-02,189,9.3,4.6,13.4
2019-02-03,189,13.5,9.5,16.4
2019-02-04,189,9,6.5,12.7
2019-02-05,189,9.7,4.1,13.6
2019-02-06,189,12.5,10.4,15.8
2019-02-07,189,11.5,7.3,14
2019-02-08,189,8,6.2,10.1
2019-02-09,189,5.4,3.9,8.3
2019-02-10,189,5.7,4.5,7.5
2019-02-11,189,5.2,2.8,8.1
2019-02-12,189,7,3.3,10.2
2019-02-13,189,8.7,5.2,12
2019-02-14,189,7.7,5.4,10.3
2019-02-15,189,8.6,5.8,11
2019-02-16,189,7,4.2,8.6
2019-02-17,189,7.2,4.1,10.2
2019-02-18,189,8.7,6.5,9.8
2019-02-19,189,12.9,9.1,17.6
2019-02-20,189,9.7,6.8,12.9
2019-02-21,189,9.9,8.2,12.4
2019-02-22,189,9.7,7.9,13.7
2019-02-23,189,10.6,6,14.6
2019-02-24,189,11.1,8.4,14.1
2019-02-25,189,11.2,6.3,15.8
2019-02-26,189,12.1,7.6,17.8
2019-02-27,189,11.4,10.3,12.2
2019-02-28,189,11.6,10,15.2
2019-03-01,189,11.4,7.5,14.6
2019-03-02,189,11.3,9.6,14
2019-03-03,189,11.7,10.5,14.2
2019-03-04,189,11.3,8.7,16.1
2019-03-05,189,12,7.6,15.8
2019-03-06,189,11,9,15
2019-03-07,189,9.8,7.1,14.5
2019-03-08,189,9.9,5,14.4
2019-03-09,189,11.8,7.9,15.7
2019-03-10,189,12.1,10.6,14.3
2019-03-11,189,10.6,7.5,14.4
2019-03-12,189,10.5,6.6,15
2019-03-13,189,8.3,5.1,12.3
2019-03-14,189,8.8,5.1,12.9
2019-03-15,189,10.2,6.4,14.8
2019-03-16,189,9.4,5.6,12.8
2019-03-17,189,13.3,9.6,17.5
2019-03-18,189,11.3,8.9,14.9
2019-03-19,189,13.3,8,18.3
2019-03-20,189,15,10.5,17.8
2019-03-21,189,14.9,12.2,18.4
2019-03-22,189,12,9,15.6
