강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 성산
기간 : 20190101~20210228

날짜,지점,강수량(mm)
2019-01-01,188,0.2
2019-01-02,188,
2019-01-03,188,
2019-01-04,188,0.3
2019-01-05,188,0.2
2019-01-06,188,
2019-01-07,188,
2019-01-08,188,
2019-01-09,188,
2019-01-10,188,0
2019-01-11,188,1.1
2019-01-12,188,0.4
2019-01-13,188,
2019-01-14,188,
2019-01-15,188,
2019-01-16,188,
2019-01-17,188,0
2019-01-18,188,
2019-01-19,188,0.2
2019-01-20,188,0
2019-01-21,188,
2019-01-22,188,
2019-01-23,188,
2019-01-24,188,
2019-01-25,188,
2019-01-26,188,
2019-01-27,188,
2019-01-28,188,
2019-01-29,188,
2019-01-30,188,0.3
2019-01-31,188,13.5
2019-02-01,188,
2019-02-02,188,
2019-02-03,188,19.5
2019-02-04,188,
2019-02-05,188,
2019-02-06,188,
2019-02-07,188,0
2019-02-08,188,
2019-02-09,188,0
2019-02-10,188,
2019-02-11,188,
2019-02-12,188,
2019-02-13,188,
2019-02-14,188,
2019-02-15,188,0.4
2019-02-16,188,
2019-02-17,188,
2019-02-18,188,2.8
2019-02-19,188,49.5
2019-02-20,188,
2019-02-21,188,
2019-02-22,188,1.7
2019-02-23,188,
2019-02-24,188,
2019-02-25,188,
2019-02-26,188,
2019-02-27,188,3.3
2019-02-28,188,0.2
2019-03-01,188,
2019-03-02,188,1
2019-03-03,188,6.9
2019-03-04,188,0.2
2019-03-05,188,0
2019-03-06,188,9
2019-03-07,188,
2019-03-08,188,
2019-03-09,188,16.7
2019-03-10,188,37.6
2019-03-11,188,
2019-03-12,188,
2019-03-13,188,
2019-03-14,188,
2019-03-15,188,
2019-03-16,188,
2019-03-17,188,
2019-03-18,188,8.8
2019-03-19,188,
2019-03-20,188,53.1
2019-03-21,188,0.2
2019-03-22,188,
2019-03-23,188,
2019-03-24,188,
2019-03-25,188,
2019-03-26,188,
2019-03-27,188,
2019-03-28,188,
2019-03-29,188,
2019-03-30,188,
2019-03-31,188,
2019-04-01,188,
2019-04-02,188,
2019-04-03,188,
2019-04-04,188,
2019-04-05,188,
2019-04-06,188,
2019-04-07,188,0.9
2019-04-08,188,
2019-04-09,188,56.3
2019-04-10,188,7.5
2019-04-11,188,
2019-04-12,188,
2019-04-13,188,
2019-04-14,188,
2019-04-15,188,
2019-04-16,188,1.9
2019-04-17,188,0.1
2019-04-18,188,
2019-04-19,188,
2019-04-20,188,
2019-04-21,188,
2019-04-22,188,
2019-04-23,188,25.9
2019-04-24,188,0.4
2019-04-25,188,0
2019-04-26,188,
2019-04-27,188,
2019-04-28,188,0
2019-04-29,188,39
2019-04-30,188,0.5
2019-05-01,188,
2019-05-02,188,
2019-05-03,188,
2019-05-04,188,
2019-05-05,188,
2019-05-06,188,
2019-05-07,188,
2019-05-08,188,
2019-05-09,188,
2019-05-10,188,
2019-05-11,188,
2019-05-12,188,
2019-05-13,188,0.2
2019-05-14,188,3.1
2019-05-15,188,
2019-05-16,188,
2019-05-17,188,28.6
2019-05-18,188,109.4
2019-05-19,188,8.5
2019-05-20,188,
2019-05-21,188,
2019-05-22,188,
2019-05-23,188,
2019-05-24,188,
2019-05-25,188,
2019-05-26,188,0.1
2019-05-27,188,97.2
2019-05-28,188,
2019-05-29,188,
2019-05-30,188,0
2019-05-31,188,0.2
2019-06-01,188,
2019-06-02,188,
2019-06-03,188,
2019-06-04,188,
2019-06-05,188,
2019-06-06,188,43.8
2019-06-07,188,0.1
2019-06-08,188,0.9
2019-06-09,188,
2019-06-10,188,
2019-06-11,188,
2019-06-12,188,
2019-06-13,188,
2019-06-14,188,17.8
2019-06-15,188,0.3
2019-06-16,188,
2019-06-17,188,
2019-06-18,188,1.1
2019-06-19,188,
2019-06-20,188,
2019-06-21,188,
2019-06-22,188,
2019-06-23,188,
2019-06-24,188,
2019-06-25,188,1.4
2019-06-26,188,94.8
2019-06-27,188,2
2019-06-28,188,
2019-06-29,188,8
2019-06-30,188,0
2019-07-01,188,1.5
2019-07-02,188,
2019-07-03,188,
2019-07-04,188,
2019-07-05,188,
2019-07-06,188,
2019-07-07,188,1.2
2019-07-08,188,37.1
2019-07-09,188,6.6
2019-07-10,188,37.6
2019-07-11,188,
2019-07-12,188,0.8
2019-07-13,188,28.5
2019-07-14,188,
2019-07-15,188,
2019-07-16,188,
2019-07-17,188,7.1
2019-07-18,188,86.7
