날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,188,4.6,3.6,6.1
2019-01-02,188,3.9,2.4,6.7
2019-01-03,188,4.2,2.3,8
2019-01-04,188,6.2,1.3,10.7
2019-01-05,188,6.3,4.8,8.5
2019-01-06,188,4.8,3.3,7.5
2019-01-07,188,5.5,3.2,8.8
2019-01-08,188,5.9,3.3,8.8
2019-01-09,188,4,1.2,6.2
2019-01-10,188,6.4,4.6,8.1
2019-01-11,188,7.1,5.2,9.2
2019-01-12,188,7.8,5,10.4
2019-01-13,188,6.4,3.8,9.7
2019-01-14,188,6.7,2.6,10.1
2019-01-15,188,6.5,2.9,10.3
2019-01-16,188,2.5,1.3,5
2019-01-17,188,4.7,2.3,7.3
2019-01-18,188,5.4,-0.1,11.9
2019-01-19,188,9.3,2.5,12.7
2019-01-20,188,6,2.7,11.8
2019-01-21,188,5,1.1,8.4
2019-01-22,188,7.3,3,11.6
2019-01-23,188,7.7,3.5,12.5
2019-01-24,188,6.3,3.6,10.6
2019-01-25,188,5.9,2.7,10.1
2019-01-26,188,3.1,1.3,5.7
2019-01-27,188,5,1.1,9.8
2019-01-28,188,6.3,1,10.5
2019-01-29,188,5.8,1.2,10.1
2019-01-30,188,7.9,6,13
2019-01-31,188,3.9,1.9,7.3
2019-02-01,188,3.6,1.5,7.1
2019-02-02,188,8.3,-0.7,13.7
2019-02-03,188,13.2,8.5,17.3
2019-02-04,188,6.2,1.7,8.9
2019-02-05,188,8.7,2.2,13.7
2019-02-06,188,11.1,6.2,16.2
2019-02-07,188,5.9,1.2,11.9
2019-02-08,188,3,0.9,6.1
2019-02-09,188,2.3,0.4,5
2019-02-10,188,2.9,1.1,5.5
2019-02-11,188,2.9,1.2,5.2
2019-02-12,188,5.3,1,8.8
2019-02-13,188,6.1,3.6,8.6
2019-02-14,188,4.9,2.8,7.9
2019-02-15,188,5.7,2.8,8.4
2019-02-16,188,3.8,2.1,6.1
2019-02-17,188,3.9,1.9,7.1
2019-02-18,188,7.6,3.1,10.9
2019-02-19,188,10,5.4,15.3
2019-02-20,188,6.4,4.6,9.4
2019-02-21,188,6.8,5,9.9
2019-02-22,188,8.4,5.7,11.9
2019-02-23,188,9.7,4.8,14.1
2019-02-24,188,11,6.9,14.2
2019-02-25,188,8.8,2.4,14.3
2019-02-26,188,9.2,5.4,13.7
2019-02-27,188,10.5,8.5,13.1
2019-02-28,188,9.9,7.7,14.7
2019-03-01,188,8.9,5.9,12.9
2019-03-02,188,10.9,5.6,14.2
2019-03-03,188,11.5,9.6,13.5
2019-03-04,188,9.9,8.1,13.3
2019-03-05,188,11,6.7,14.9
2019-03-06,188,9.7,7.4,12.2
2019-03-07,188,7.7,5.9,10.6
2019-03-08,188,8.5,3.4,15.4
2019-03-09,188,11.5,4,16
2019-03-10,188,10.7,7.8,13.3
2019-03-11,188,10.2,6,15.5
2019-03-12,188,9.8,2.3,16.3
2019-03-13,188,6.7,-0.1,11.2
2019-03-14,188,8,2.2,13.5
2019-03-15,188,9.9,4.2,16.4
2019-03-16,188,9.1,4.6,13.8
2019-03-17,188,10.7,6.9,15.2
2019-03-18,188,9.9,3.8,15.3
2019-03-19,188,12.4,7,18.1
2019-03-20,188,14.6,5.3,19.3
2019-03-21,188,11.5,6.8,17.4
2019-03-22,188,7.1,5.2,10.4
2019-03-23,188,7.7,4.5,12.2
2019-03-24,188,6.6,0.9,12.5
2019-03-25,188,8.5,3.6,13.4
2019-03-26,188,13.6,2.7,20.5
2019-03-27,188,13.5,4.8,18.3
2019-03-28,188,14.6,12.3,19.1
2019-03-29,188,13.8,9.7,18.4
2019-03-30,188,11,6.9,18
2019-03-31,188,7.5,5.5,10.5
2019-04-01,188,9.1,4.6,13.4
2019-04-02,188,10.3,5.7,15.7
2019-04-03,188,9.5,5.4,15.3
2019-04-04,188,10.5,1.2,16.8
2019-04-05,188,12.9,5.8,18.5
2019-04-06,188,13.5,6.9,20.5
2019-04-07,188,15.3,10.9,20.7
2019-04-08,188,14.4,8.9,20.1
2019-04-09,188,14.7,9.3,17.2
2019-04-10,188,10.1,8.8,14.1
2019-04-11,188,11,8.8,14.4
2019-04-12,188,12.5,6.5,17.6
2019-04-13,188,12.5,6.6,17.5
2019-04-14,188,13.4,8.2,17.8
2019-04-15,188,12.9,7.6,19
2019-04-16,188,14.8,7.3,20.2
2019-04-17,188,14,9.5,18.1
2019-04-18,188,14.9,7.6,20.7
2019-04-19,188,16.2,11.5,20.2
2019-04-20,188,15.8,12.3,18.8
2019-04-21,188,17.5,10.4,22.5
2019-04-22,188,18.5,15.7,22.1
2019-04-23,188,17.3,16,17.8
2019-04-24,188,17.5,14.6,21.8
2019-04-25,188,16.4,14.2,20.8
2019-04-26,188,12,10.1,16.3
2019-04-27,188,13.7,10.1,16.3
2019-04-28,188,15.4,13.3,17.5
2019-04-29,188,15.8,14.2,18.2
2019-04-30,188,14.9,11.4,17.1
2019-05-01,188,15.6,11.1,22.2
2019-05-02,188,18.3,13,24.4
2019-05-03,188,19,11.9,24.9
2019-05-04,188,17.8,10.5,24.7
2019-05-05,188,18.4,12.2,23.4
2019-05-06,188,16.1,11.9,21.2
2019-05-07,188,15,10.3,20.1
2019-05-08,188,15.8,7.9,22
2019-05-09,188,17.8,12.1,23.6
2019-05-10,188,16.9,9.7,22.8
2019-05-11,188,17.1,9.8,23.6
2019-05-12,188,18.4,12.4,24.9
2019-05-13,188,19,15.5,21.6
2019-05-14,188,19.8,17,23.2
2019-05-15,188,20.5,16,24.8
2019-05-16,188,20.3,16,25.2
2019-05-17,188,19.4,16.5,24.7
2019-05-18,188,19.5,18.4,20.6
2019-05-19,188,19.3,17.3,20.7
2019-05-20,188,16.6,13.4,19.1
2019-05-21,188,18.8,12.7,24
2019-05-22,188,19.6,9.4,27.3
