날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,184,5.6,4.8,7
2019-01-02,184,5.1,4.5,6.1
2019-01-03,184,5.1,3.5,8
2019-01-04,184,5.8,2.6,10
2019-01-05,184,7,5.2,9
2019-01-06,184,5.7,4.5,7.7
2019-01-07,184,5.9,3.1,8.8
2019-01-08,184,6.6,4.5,8.8
2019-01-09,184,4.5,2.2,5.8
2019-01-10,184,6.9,5.6,7.8
2019-01-11,184,7.9,5.9,9.4
2019-01-12,184,8.9,8.1,10.9
2019-01-13,184,7.9,6.6,10
2019-01-14,184,7.3,5.5,9.7
2019-01-15,184,7,3.6,9.9
2019-01-16,184,3.1,2,4
2019-01-17,184,5.6,3.9,6.5
2019-01-18,184,6.4,3.9,9.8
2019-01-19,184,8.9,3.6,12.6
2019-01-20,184,6.7,3.9,11.6
2019-01-21,184,6.2,3.9,8.1
2019-01-22,184,8.3,5.8,10.9
2019-01-23,184,8.6,6.7,11.9
2019-01-24,184,6.2,3.4,9.6
2019-01-25,184,5.7,3.6,10.1
2019-01-26,184,4.3,2.9,5.8
2019-01-27,184,5.6,2.4,8.5
2019-01-28,184,7.7,4.8,10.8
2019-01-29,184,6.3,2.8,9.2
2019-01-30,184,8.2,6.8,10.1
2019-01-31,184,4.9,3.3,8.2
2019-02-01,184,5,3.4,6.8
2019-02-02,184,9.3,5,12
2019-02-03,184,13.3,8.6,18.4
2019-02-04,184,6.9,4.9,9.5
2019-02-05,184,9.3,4,13.6
2019-02-06,184,11.8,9.1,15.5
2019-02-07,184,6.5,1.9,12.1
2019-02-08,184,3.4,1.5,5.6
2019-02-09,184,3,1.5,4.7
2019-02-10,184,3.1,2,4.9
2019-02-11,184,3.7,2.9,4.7
2019-02-12,184,5.7,1,8.7
2019-02-13,184,6.8,5.2,8.7
2019-02-14,184,5.6,4.2,8
2019-02-15,184,6.4,4.3,7.7
2019-02-16,184,4.2,3.1,7
2019-02-17,184,4.4,3.1,6.9
2019-02-18,184,7.1,2.9,9.8
2019-02-19,184,9.3,6.4,13
2019-02-20,184,6.9,4.8,9.4
2019-02-21,184,7.1,5.6,8.7
2019-02-22,184,8.3,6.5,10.9
2019-02-23,184,9.3,4.2,13.7
2019-02-24,184,11,8.6,14.1
2019-02-25,184,9.4,7.3,13.1
2019-02-26,184,8.9,5.3,12.2
2019-02-27,184,10.9,9.4,11.9
2019-02-28,184,10.4,8,13.2
2019-03-01,184,9.4,6.4,12.3
2019-03-02,184,11,7.3,14.3
2019-03-03,184,11.8,10.5,13.3
2019-03-04,184,10,8.4,12.2
2019-03-05,184,10.7,6.2,13.4
2019-03-06,184,10.4,8.4,13.8
2019-03-07,184,8.3,7.3,10.4
2019-03-08,184,8.5,3.7,12.3
2019-03-09,184,11.6,6.5,16.6
2019-03-10,184,10.7,8.9,13.1
2019-03-11,184,10,6.9,13.6
2019-03-12,184,10.7,6.1,16
2019-03-13,184,8.4,5.1,11.7
2019-03-14,184,10,7,14
2019-03-15,184,10.2,6.2,15.8
2019-03-16,184,10.1,6,14.1
2019-03-17,184,11.2,8,14.1
2019-03-18,184,10.7,6.9,14.2
2019-03-19,184,12.3,9.2,16.1
2019-03-20,184,16.3,9.9,21.2
2019-03-21,184,10.7,7.3,20
2019-03-22,184,7.8,6.4,10.6
2019-03-23,184,8.5,6.2,11.8
2019-03-24,184,7.5,3.6,11
2019-03-25,184,9.9,6.4,13.2
2019-03-26,184,14.2,10.1,16.7
2019-03-27,184,16.4,10.3,22
2019-03-28,184,14.6,12.8,16.9
2019-03-29,184,13.9,12.2,17
2019-03-30,184,11,7.9,14.6
2019-03-31,184,8.4,7.1,11.4
2019-04-01,184,10.5,7.1,13.2
2019-04-02,184,10.6,8.6,14
2019-04-03,184,10.5,6.6,14.4
2019-04-04,184,11.3,6.2,14.6
2019-04-05,184,14.5,11.9,18.2
2019-04-06,184,15,11,20.8
2019-04-07,184,16.4,13,21.4
2019-04-08,184,14.8,11.7,18.1
2019-04-09,184,15,14.1,17.4
2019-04-10,184,10.4,9.6,14.2
2019-04-11,184,11.6,9.7,13.8
2019-04-12,184,12.7,9.2,16.6
2019-04-13,184,13.7,9.4,17.7
2019-04-14,184,13.6,10.6,17.1
2019-04-15,184,13,8.7,17.1
2019-04-16,184,16.8,10.7,25
2019-04-17,184,15.8,13.6,18.6
